country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,46.3/58.4,91,91,13648,21830,-8182,2492,-0.4,59.0,0.1,1.5,80.4/73.6,14.7/26.8,576.9/13.6,15.5,3.9,7.8,3.1,4.6,98.1/97.8,100.6/95.9,79.8/58.8,19.9,103.8,69.8,176,34.3,16.8/4.0,182,79,99.6/99.7,97.8/95.8,...,-99
Cuba,Caribbean,109884,11485,107.9,100.1,87206,4.4,7656.6,5.0,20.5,74.5,12.9,11.7,75.3,3.0,42.1/68.3,100,101,18000,4911,13089,-99,0.2,77.1,0.1,1.7,81.3/77.1,16.0/20.1,13.3/0.1,0.4,5.5,11.1,7.5,...,94.9/100.1,102.7/98.2,43.0/30.1,48.9,29.6,31.1,339,30.2,34.8/3.0,212,47,96.4/89.8,94.4/89.1,...,-99
Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,57.8/70.4,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,1.4,82.2/77.7,16.8/18.5,196.2/16.8,16.2,4.2,7.4,2.5,6.1,99.3/99.3,99.4/100.1,69.4/51.1,17.9,95.4,71.7,72,18.7,6.1/5.2,5,72,100.0/100.0,100.0/100.0,-99,-99
Czechia,EasternEurope,78868,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37.0,60.5,3.9,51.3/67.8,102,102,161248,140316,20932,1683,0.1,73.0,0.3,1.5,81.2/75.1,15.4/25.6,405.1/3.8,6.0,2.5,7.4,3.7,4.1,99.9/99.6,106.1/105.1,76.3/54.2,20.0,129.2,81.3,53,34.5,96.5/9.2,1221,164,100.0/100.0,99.1/99.2,-99,-99
Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,95.7,16283,-1.1,648.0,21.6,46.2,32.2,58.9,19.3,21.8,4.3,73.6/85.9,104,103,1010,2757,-1748,-99,0.5,60.9,0.7,2.0,74.1/67.2,20.6/13.5,48.5/0.2,-99,18.5,-99,2.8,-99,76.9/76.7,93.9/92.9,19.8/36.0,16.3,12.9,0.0,78,42.8,40.5/1.6,871,20,99.9/99.4,87.9/72.5,-99,-99
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,7.0,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,70.4/71.8,104,104,5103,5906,-803,-1546,3.3,42.5,4.0,6.4,59.5/56.7,46.3/4.7,545.7/0.7,2163.3,73.2,4.3,...,2.2,101.8/112.0,33.3/53.6,4.2/9.1,8.9,53.0,3.8,349,67.4,4.7/0.1,1179,16,81.1/31.2,28.5/28.7,8.01,-99
Denmark,NorthernEurope,42921,5734,135.1,99.0,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,58.1/66.0,105,105,94355,85133,9222,27582,0.5,87.7,0.6,1.7,82.2/78.1,16.5/25.3,572.5/10.1,48.2,3.5,10.8,3.6,8.6,100.7/102.3,133.4/128.3,96.3/69.7,37.4,128.3,96.3,47,14.4,33.5/5.9,666,119,100.0/100.0,99.6/99.6,-99,-99
Djibouti,EasternAfrica,23200,957,41.3,100.7,1737,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,36.5/68.5,133,133,134,987,-852,-548,1.7,77.3,1.6,3.1,63.2/60.0,31.1/6.4,112.4/12.7,19.9,55.3,10.6,0.2,...,60.9/68.6,43.5/52.9,4.0/5.9,10.8,34.7,11.9,98,0.2,0.7/0.8,3,13,97.4/64.7,59.8/5.1,...,-99
Dominica,Caribbean,750,74,98.6,103.0,512,-1.8,7051.1,15.4,13.2,71.5,...,...,...,...,.../...,110,111,23,214,-191,-72,0.5,69.5,0.8,...,.../...,.../...,6.7/9.2,-99,-99,5.5,...,-99,114.8/117.2,99.8/101.2,-99,25.0,106.3,67.6,66,58.1,0.1/1.9,0,29,95.7/...,.../...,2.36,-99
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7.0,6373.6,6.6,28.0,65.4,13.1,16.9,70.0,14.4,52.3/78.6,136,138,3747,22725,-18978,-1335,1.2,79.0,2.6,2.5,76.4/70.2,29.3/10.2,415.6/3.9,1.3,25.1,4.4,1.5,...,98.7/108.1,81.7/74.1,65.0/35.4,26.8,82.6,51.9,184,40.4,21.5/2.1,28,28,85.4/81.9,86.2/75.7,0.43,-99
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,49.1/79.9,118,119,16798,16189,609,-2201,1.6,63.7,1.9,2.6,78.4/72.8,28.4/10.5,387.5/2.4,133.1,21.1,9.2,1.7,5.0,107.9/107.4,109.2/105.3,45.3/34.6,41.6,79.4,48.9,2358,50.8,43.9/2.8,1247,42,93.4/75.5,87.0/80.7,0.31,-99
Egypt,NorthernAfrica,1002000,97553,98.0,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,23.1/76.2,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,73.0/68.7,33.5/7.9,491.6/0.5,256.5,18.9,5.6,0.8,...,103.8/104.1,85.9/86.3,35.6/36.9,14.9,111.0,35.9,156,0.1,201.9/2.2,3509,36,100.0/99.0,96.8/93.1,0.78,-99
El Salvador,CentralAmerica,21041,6378,307.8,88.5,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,49.5/79.5,111,117,5335,9855,-4519,-920,0.5,66.7,1.4,2.2,77.1/67.9,27.4/11.6,42.0/0.7,4.7,17.0,6.8,...,3.5,106.8/111.4,79.7/79.2,30.5/27.7,32.1,145.3,26.9,86,13.0,6.3/1.0,86,28,97.5/86.5,82.4/60.0,0.36,-99
Equatorial Guinea,MiddleAfrica,28052,1268,45.2,124.0,13812,-7.4,16344.1,1.2,73.1,25.7,18.8,18.0,63.2,7.7,71.5/91.8,117,118,7443,5456,1987,-99,4.2,39.9,3.1,5.0,58.4/55.5,37.2/4.4,10.8/1.3,-99,70.0,3.8,...,-99,78.2/80.0,.../...,.../...,24.0,66.7,21.3,177,56.3,5.3/6.5,841,87,72.5/31.5,79.9/71.0,0.15,-99
Eritrea,EasternAfrica,117600,5069,50.2,100.4,4783,4.8,914.9,17.2,23.5,59.3,57.0,7.6,35.4,7.3,77.8/90.1,109,109,16,3325,-3310,-99,2.0,22.6,5.1,4.4,65.6/61.4,41.8/5.3,15.9/0.3,2.3,45.0,3.3,...,...,45.9/53.2,28.1/32.9,1.7/3.4,22.0,7.0,1.1,122,15.0,0.7/0.1,27,7,73.2/53.3,44.6/7.3,...,-99
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,55.4/69.4,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,1.6,81.2/71.8,16.4/25.9,202.3/15.4,84.2,3.2,6.4,3.3,5.5,98.5/98.3,114.7/115.6,84.8/55.4,26.7,148.7,88.4,23,52.7,19.5/14.8,242,193,100.0/99.0,97.5/96.6,-99,-99
Ethiopia,EasternAfrica,1104300,104957,105.0,99.7,59917,9.6,602.8,40.5,16.0,43.5,70.5,8.4,21.1,5.7,77.1/89.1,158,157,1724,19121,-17397,...,2.6,19.5,4.9,4.6,65.5/61.9,40.6/5.3,1072.9/1.1,745.7,45.8,4.9,...,4.5,97.2/106.9,34.4/35.9,5.3/10.9,38.8,42.8,11.6,148,12.5,11.6/0.1,1308,15,93.1/48.6,27.2/28.2,5.28,-99
Falkland Islands (Malvinas),SouthAmerica,12173,3,0.2,110.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.2,77.2/86.0,96,105,4,17,-13,-99,0.3,76.2,1.0,-99,-99,16.4/15.7,1.6/54.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,163.5,98.3,23,0.0,0.1/18.9,0,257,-99,-99,-99,-99
Faroe Islands,NorthernEurope,1393,49,35.3,107.2,-99,-99,-99,-99,-99,-99,...,...,...,4.0,79.4/86.0,102,102,1192,976,216,...,0.2,42.0,0.5,2.4,84.5/78.3,21.0/22.5,5.5/11.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,127.3,94.2,21,0.1,0.6/12.4,1,182,-99,-99,-99,-99
Fiji,Melanesia,18272,906,49.6,103.1,4391,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,37.0/71.2,88,88,926,2316,-1391,-72,0.7,53.7,1.5,2.6,72.9/66.9,28.5/9.9,13.8/1.5,~0.0,16.0,4.5,...,3.9,105.1/106.0,93.4/84.3,.../...,16.0,108.2,46.3,291,55.4,1.2/1.3,8,26,99.5/91.2,93.4/88.4,2.46,-99
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,54.5/61.7,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,1.8,83.7/77.7,16.4/27.8,315.9/5.7,32.6,2.3,9.7,3.0,7.2,101.4/101.7,156.3/142.8,95.6/79.3,42.0,135.5,92.7,36,73.1,47.3/8.6,757,257,100.0/100.0,99.4/88.0,-99,-99
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,50.3/59.4,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,2.0,85.0/78.8,18.1/25.7,7784.4/12.1,356.2,3.4,11.5,3.2,5.5,105.0/105.7,111.2/110.1,71.0/57.9,25.8,102.6,84.7,278,30.8,303.3/4.7,5694,158,100.0/100.0,98.6/98.9,-99,-99
French Guiana,SouthAmerica,83534,283,3.4,100.0,-99,-99,-99,-99,-99,-99,-99,14.9,58.3,21.3,48.4/58.8,120,120,-99,-99,-99,-99,2.8,84.4,2.8,3.5,82.6/76.1,33.2/8.4,106.1/39.5,-99,9.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,73,98.9,0.7/2.8,3,50,94.5/75.1,94.9/75.8,-99,-99
French Polynesia,Polynesia,4000,283,77.3,103.7,5135,1.6,18161.0,2.8,11.9,85.2,8.9,16.9,74.2,17.0,46.4/63.0,98,98,173,1491,-1319,208,0.7,55.9,0.9,2.1,78.6/74.0,23.3/11.9,30.1/10.6,-99,6.9,-99,-99,-99,-99,-99,-99,-99,94.9,64.6,175,42.3,0.8/2.9,1,43,100.0/100.0,98.5/98.5,-99,-99
Gabon,MiddleAfrica,267668,2025,7.9,105.6,13735,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,40.7/58.3,97,92,2851,2930,-79,...,3.3,87.2,2.7,4.0,65.8/63.1,35.9/6.4,268.4/15.6,2.9,40.8,3.4,...,2.7,139.9/144.0,-99,.../...,17.1,168.9,23.5,270,88.5,5.2/3.1,559,64,97.2/66.7,43.4/31.5,0.73,-99
Gambia,WesternAfrica,11295,2101,207.6,98.0,942,4.7,473.2,21.1,14.9,64.0,30.4,14.4,55.2,29.7,72.2/82.6,82,82,32,471,-439,...,3.1,59.6,4.3,5.6,61.6/59.1,45.3/3.8,192.5/9.7,7.9,49.8,7.3,...,2.8,96.8/90.1,.../...,2.5/3.7,9.4,131.3,17.1,67,48.1,0.5/0.3,7,7,94.2/84.4,61.5/55.0,12.35,-99
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,3491.4,9.0,24.1,66.9,44.7,11.2,44.1,11.4,57.9/79.0,85,86,2114,7236,-5122,-1775,-1.4,53.6,-0.1,2.0,77.0/68.5,19.2/20.8,168.8/4.2,274.1,11.2,7.4,4.8,2.0,118.2/115.5,103.8/103.6,47.8/39.2,16.0,129.0,45.2,120,40.6,9.0/2.2,61,47,100.0/100.0,95.2/75.9,3.30,-99
Germany,WesternEurope,357376,82114,235.6,97.0,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,54.5/66.1,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,1.4,82.9/77.9,13.1/28.0,12005.7/14.9,1052.1,3.4,11.3,4.1,5.0,104.7/105.2,99.6/105.6,66.8/69.7,37.0,116.7,87.6,116,32.7,719.9/8.9,5004,158,100.0/100.0,99.3/99.0,-99,-99
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,19.0,26.9,54.1,41.9,14.2,43.8,5.9,75.7/78.8,144,144,7221,11939,-4718,-2809,2.4,54.0,3.4,4.2,62.6/60.7,38.5/5.3,399.5/1.5,27.3,46.5,3.6,...,6.2,108.7/107.3,61.1/63.1,13.2/19.1,12.7,129.7,23.5,238,40.9,14.5/0.6,410,14,92.6/84.0,20.2/8.6,4.81,-99
Gibraltar,SouthernEurope,6,35,3457.1,101.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.../...,-99,-99,234,533,-299,-99,0.6,100.0,0.1,-99,.../...,18.1/22.4,11.1/34.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,129.5,65.0,31,0.0,0.5/16.5,-99,259,-99,-99,-99,-99
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,44.1/60.1,86,87,27811,47595,-19784,218,-0.4,78.0,0.5,1.3,83.3/78.0,14.2/26.5,1242.5/11.3,94.7,3.3,8.1,6.3,...,97.1/98.1,103.4/109.5,113.7/114.0,18.3,114.0,66.8,374,31.2,67.3/6.1,368,89,100.0/100.0,99.2/98.1,-99,-99
Greenland,NorthernAmerica,2166086,56,0.1,112.1,2078,0.3,36976.7,10.0,15.9,74.1,4.6,12.6,82.5,9.7,-99,99,99,553,623,-71,-99,-0.1,86.4,0.7,2.0,73.4/68.7,21.0/13.2,6.0/10.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,106.5,67.6,23,~0.0,0.5/9.0,2,154,100.0/100.0,100.0/100.0,-99,-99
Grenada,Caribbean,345,108,317.1,100.9,954,6.2,8933.8,8.3,13.9,77.8,-99,-99,-99,...,-99,103,103,30,350,-320,-213,0.4,35.6,0.3,2.2,75.6/70.8,26.3/10.5,7.1/6.6,~0.0,9.6,6.1,...,...,102.9/106.8,99.0/99.4,97.9/84.5,33.3,112.2,53.8,54,50.0,0.2/2.3,0,35,99.0/95.3,97.5/98.3,2.55,-99
Guadeloupe,Caribbean,1705,450,266.0,86.4,-99,-99,-99,-99,-99,-99,3.3,13.5,65.5,26.1,49.6/56.5,100,100,-99,-99,-99,-99,-~0.0,98.4,0.5,2.0,84.0/76.8,18.6/23.6,98.5/21.0,-99,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,73,43.0,2.6/5.5,5,80,99.3/99.8,97.0/89.5,-99,-99
Guam,Micronesia,549,164,304.1,102.6,-99,-99,-99,-99,-99,-99,0.2,14.0,85.7,10.7,55.2/68.7,88,88,-99,-99,-99,-99,0.3,94.5,1.4,2.4,81.5/76.4,24.7/14.0,76.1/44.8,-99,9.6,-99,-99,-99,-99,-99,-99,-99,...,73.1,99,46.3,-99,-99,-99,99.5/99.5,89.8/89.8,-99,-99
Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,4.1,3903.5,10.8,27.2,62.0,32.0,18.5,49.4,2.4,41.7/84.0,158,158,10572,16987,-6415,-96,2.1,51.6,3.4,3.2,75.6/69.2,35.1/6.9,76.4/0.5,1.8,26.9,6.2,...,3.0,99.8/103.8,63.3/67.9,23.5/20.2,12.7,111.5,27.1,290,33.4,18.3/1.1,327,32,98.4/86.8,77.5/49.3,0.66,-99
Guinea-Bissau,WesternAfrica,36125,1861,66.2,96.9,978,4.8,530.0,45.0,14.5,40.5,60.1,5.8,34.1,6.5,67.4/78.5,137,138,885,212,673,-53,2.6,49.3,4.1,4.9,57.7/54.3,41.5/4.9,22.3/1.2,8.8,80.4,5.6,...,2.2,.../...,.../...,-99,13.7,69.3,3.5,77,70.5,0.3/0.1,25,17,98.8/60.3,33.5/8.5,9.03,-99
Guinea,WesternAfrica,245857,12717,51.8,100.6,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,79.4/85.1,130,131,1753,2082,-329,-1240,2.3,37.2,3.8,5.1,58.4/57.4,42.3/5.2,228.4/1.8,9.2,65.7,5.6,...,3.2,83.8/98.6,30.7/46.8,6.7/14.9,21.9,87.2,4.7,185,26.0,2.4/0.2,113,12,92.7/67.4,34.1/11.8,8.65,-99
Guyana,SouthAmerica,214969,778,4.0,101.9,3282,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,11.3,41.9/77.0,142,143,1453,1625,-172,-144,0.6,28.6,0.8,2.6,68.6/64.0,29.0/8.6,15.4/2.0,~0.0,33.2,5.2,...,3.2,83.9/86.9,89.0/89.7,16.8/8.2,31.9,67.2,38.2,94,84.0,2.0/2.6,7,46,98.2/98.3,87.9/82.0,0.97,-99
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,62.0/71.7,163,166,984,3316,-2332,-723,1.4,58.6,3.8,3.1,64.4/60.2,33.0/7.3,39.5/0.4,1.9,46.9,7.6,-99,-99,-99,-99,-99,2.6,69.9,12.2,205,3.5,2.9/0.3,136,16,64.9/47.6,33.6/19.2,11.73,-99
Holy See,SouthernEurope,~0,1,1800.0,219.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,~0.0,100.0,~0.0,-99,-99,-99,0.8/100.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,13.0,25.1,61.9,29.4,21.6,49.0,5.6,47.6/84.5,122,119,3657,8448,-4791,-1291,1.8,54.7,3.1,2.6,75.4/70.4,31.6/7.0,28.1/0.3,176.2,27.8,8.7,...,5.9,110.1/111.3,77.0/64.8,25.4/18.8,25.8,95.5,20.4,301,42.1,9.5/1.2,105,28,97.4/83.8,86.7/77.7,2.86,-99
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,46.6/62.4,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,1.3,78.8/71.7,14.3/26.0,449.6/4.6,14.4,4.9,7.4,3.3,4.7,101.3/101.9,105.3/105.1,56.7/45.3,10.1,118.9,72.8,66,22.8,42.1/4.3,423,97,100.0/100.0,97.8/98.6,-99,-99
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,4.2,50936.0,6.4,24.0,69.7,4.0,17.7,78.2,3.6,70.3/77.2,117,117,4450,5703,-1254,854,0.6,94.1,1.3,2.0,83.8/80.6,20.1/20.1,37.5/11.4,0.5,1.6,8.9,3.8,7.8,98.6/99.7,121.0/116.3,103.1/60.2,47.6,114.0,98.2,27,0.5,2.0/6.1,284,952,100.0/100.0,98.7/100.0,-99,-99
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,27.0/79.1,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,69.1/66.2,27.8/9.4,5241.0/0.4,211.1,41.3,4.7,0.7,3.8,115.1/102.8,74.5/73.5,26.7/27.0,11.8,78.8,26.0,1052,23.7,2238.4/1.7,23103,27,97.1/92.6,62.6/28.5,0.16,-99
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,51.0/83.7,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,70.7/66.6,27.4/8.6,328.8/0.1,13.8,25.0,2.8,0.2,3.6,104.4/107.2,86.0/85.7,25.7/22.9,19.8,132.4,22.0,1281,50.6,464.2/1.8,19481,35,94.2/79.5,72.3/47.5,0.00,-99
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,16.3/73.2,106,107,45627,35333,10294,-99,1.2,73.4,2.1,1.7,76.2/74.0,23.7/8.8,2726.4/3.4,978.3,14.8,7.5,1.5,2.9,111.7/106.3,88.9/89.4,67.7/75.9,5.9,93.4,44.1,134,6.6,649.5/8.3,13291,127,97.7/92.1,92.8/82.3,0.02,-99
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4509.0,4.6,58.0,37.4,20.4,21.0,58.6,16.1,15.3/69.9,123,123,27341,45831,-18490,4121,3.2,69.5,3.0,4.6,71.4/67.0,40.4/5.0,353.9/1.0,4736.2,32.1,5.5,0.9,-99,.../...,.../...,.../...,25.3,93.8,17.2,72,1.9,168.4/4.8,6744,58,93.8/70.1,86.4/83.8,0.88,-99
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,1.0,41.7,57.3,4.8,17.7,77.4,7.6,51.9/67.1,102,102,129315,76997,52318,28967,0.3,63.2,1.6,2.0,83.0/78.7,21.6/19.1,746.3/15.9,10.5,3.4,7.8,2.8,5.3,102.0/100.9,129.4/125.6,87.6/80.1,22.2,103.7,80.1,50,10.9,34.1/7.3,84,114,97.9/97.8,89.1/92.9,-99,-99
Isle of Man,NorthernEurope,572,84,147.9,98.2,-99,-99,-99,-99,-99,-99,...,...,...,2.6,57.5/69.3,-99,-99,-99,-99,-99,-99,0.8,52.2,0.8,-99,-99,16.0/26.9,45.2/51.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,6.1,-99,0,3,-99,-99,-99,-99
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,58.5/69.0,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3.0,83.7/80.0,27.9/16.1,2011.7/24.9,44.7,3.4,7.8,3.6,5.8,105.1/104.4,103.0/102.0,75.5/54.6,27.5,133.5,78.9,174,7.5,64.6/8.1,313,119,100.0/100.0,100.0/100.0,-99,-99
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,39.2/57.8,89,89,461529,404578,56951,29348,-0.1,69.0,0.4,1.4,84.7/79.9,13.5/29.4,5788.9/9.7,216.7,3.0,9.2,3.9,4.1,100.6/101.4,101.7/104.1,72.2/53.2,31.0,151.3,65.6,359,31.4,320.4/5.4,1539,103,100.0/100.0,99.5/99.6,-99,-99
Jamaica,Caribbean,10990,2890,266.9,99.0,14262,1.0,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,58.1/72.7,102,102,1202,4767,-3565,-400,0.4,54.8,0.9,2.1,77.9/73.1,22.7/13.6,23.2/0.8,~0.0,15.0,5.4,...,5.5,.../...,85.1/79.2,34.6/20.1,17.5,111.5,43.2,311,31.0,7.4/2.7,8,37,97.5/89.4,79.9/84.1,0.42,-99
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3.0,48.9/69.7,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,1.4,86.4/80.0,12.9/33.4,2043.9/1.6,19.4,2.2,10.2,2.3,3.6,101.2/101.3,101.9/101.6,60.9/65.7,9.3,125.0,93.3,404,68.5,1214.0/9.6,1114,146,100.0/100.0,100.0/100.0,-99,-99
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,14.5/64.5,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,75.5/72.2,35.5/5.7,3112.0/41.0,721.4,17.1,7.5,2.6,-99,97.6/97.1,84.8/80.2,47.3/42.5,15.4,179.4,53.4,113,1.1,26.5/3.6,7,47,97.8/92.3,98.6/98.9,5.80,-99
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,5.0,32.5,62.5,18.1,20.4,61.6,5.6,66.3/77.5,126,127,36775,25175,11601,-5464,1.6,53.2,0.9,2.7,73.9/64.3,27.9/11.1,3546.8/20.1,9.2,14.1,4.4,3.3,2.8,109.1/108.8,113.5/110.6,51.3/41.4,27.1,187.2,72.9,82,1.2,248.3/14.3,7091,193,99.4/85.6,97.0/98.1,0.05,-99
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,62.4/72.4,126,126,5688,14109,-8420,-6339,2.7,25.6,4.3,4.1,67.8/63.0,40.5/4.3,1084.4/2.4,582.4,39.4,5.7,0.2,5.3,108.7/109.3,.../...,.../...,19.4,80.7,45.6,480,7.7,14.3/0.3,750,20,81.6/56.8,31.2/29.7,3.93,-99
Kiribati,Micronesia,726,116,143.7,97.3,162,3.7,1442.9,24.1,13.6,62.2,...,...,...,...,.../...,61,61,3,116,-113,45,1.8,44.3,1.8,3.8,68.9/62.4,35.0/6.4,3.2/2.8,-99,46.9,10.2,0.2,...,106.1/102.9,.../...,-99,6.5,38.8,13.0,104,15.0,0.1/0.6,0,8,87.3/50.6,51.2/30.6,20.05,-99
Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,47.7/83.6,199,199,46238,30825,15413,8584,5.4,98.3,3.6,2.0,75.5/73.5,21.1/4.9,2866.1/73.6,94.7,8.4,3.0,1.9,...,103.0/102.4,102.7/88.2,33.1/20.4,3.1,231.8,82.1,49,0.4,95.4/25.4,6941,380,99.0/99.0,100.0/100.0,-99,-99
